"subzone","na_count","total_pixels","na_percentage","date","image_name","landsat_number","formatted_date"
"JURONG WEST",130,3366,3.86215092097445,2000-04-28,"LST_Singapore_2000-04-28.tif","7","Apr 28, 2000"
"JURONG WEST",549,3366,16.3101604278075,2000-05-30,"LST_Singapore_2000-05-30.tif","7","May 30, 2000"
"JURONG WEST",1522,3366,45.2168746286393,2000-07-17,"LST_Singapore_2000-07-17.tif","7","Jul 17, 2000"
"JURONG WEST",179,3366,5.31788472964944,2000-09-03,"LST_Singapore_2000-09-03.tif","7","Sep 03, 2000"
"JURONG WEST",795,3366,23.6185383244207,2000-11-06,"LST_Singapore_2000-11-06.tif","7","Nov 06, 2000"
"JURONG WEST",1955,3366,58.0808080808081,2000-12-08,"LST_Singapore_2000-12-08.tif","7","Dec 08, 2000"
"JURONG WEST",1943,3366,57.7243018419489,2001-01-09,"LST_Singapore_2001-01-09.tif","7","Jan 09, 2001"
"JURONG WEST",1658,3366,49.2572786690434,2001-02-26,"LST_Singapore_2001-02-26.tif","7","Feb 26, 2001"
"JURONG WEST",1955,3366,58.0808080808081,2001-03-14,"LST_Singapore_2001-03-14.tif","7","Mar 14, 2001"
"JURONG WEST",387,3366,11.4973262032086,2001-03-30,"LST_Singapore_2001-03-30.tif","7","Mar 30, 2001"
"JURONG WEST",725,3366,21.5389185977421,2001-04-15,"LST_Singapore_2001-04-15.tif","7","Apr 15, 2001"
"JURONG WEST",172,3366,5.10992275698158,2001-05-01,"LST_Singapore_2001-05-01.tif","7","May 01, 2001"
"JURONG WEST",1955,3366,58.0808080808081,2001-05-17,"LST_Singapore_2001-05-17.tif","7","May 17, 2001"
"JURONG WEST",803,3366,23.8562091503268,2001-07-20,"LST_Singapore_2001-07-20.tif","7","Jul 20, 2001"
"JURONG WEST",1955,3366,58.0808080808081,2001-09-06,"LST_Singapore_2001-09-06.tif","7","Sep 06, 2001"
"JURONG WEST",1579,3366,46.9102792632204,2001-09-22,"LST_Singapore_2001-09-22.tif","7","Sep 22, 2001"
"JURONG WEST",1955,3366,58.0808080808081,2001-10-24,"LST_Singapore_2001-10-24.tif","7","Oct 24, 2001"
"JURONG WEST",1955,3366,58.0808080808081,2001-11-09,"LST_Singapore_2001-11-09.tif","7","Nov 09, 2001"
"JURONG WEST",1955,3366,58.0808080808081,2001-11-25,"LST_Singapore_2001-11-25.tif","7","Nov 25, 2001"
"JURONG WEST",828,3366,24.5989304812834,2002-01-12,"LST_Singapore_2002-01-12.tif","7","Jan 12, 2002"
"JURONG WEST",255,3366,7.57575757575758,2002-01-28,"LST_Singapore_2002-01-28.tif","7","Jan 28, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-03-01,"LST_Singapore_2002-03-01.tif","7","Mar 01, 2002"
"JURONG WEST",878,3366,26.0843731431967,2002-03-17,"LST_Singapore_2002-03-17.tif","7","Mar 17, 2002"
"JURONG WEST",262,3366,7.78371954842543,2002-04-02,"LST_Singapore_2002-04-02.tif","7","Apr 02, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-05-04,"LST_Singapore_2002-05-04.tif","7","May 04, 2002"
"JURONG WEST",1000,3366,29.708853238265,2002-05-20,"LST_Singapore_2002-05-20.tif","7","May 20, 2002"
"JURONG WEST",508,3366,15.0920974450386,2002-06-05,"LST_Singapore_2002-06-05.tif","7","Jun 05, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-06-21,"LST_Singapore_2002-06-21.tif","7","Jun 21, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-07-07,"LST_Singapore_2002-07-07.tif","7","Jul 07, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-07-23,"LST_Singapore_2002-07-23.tif","7","Jul 23, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-08-08,"LST_Singapore_2002-08-08.tif","7","Aug 08, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-08-24,"LST_Singapore_2002-08-24.tif","7","Aug 24, 2002"
"JURONG WEST",235,3366,6.98158051099228,2002-09-09,"LST_Singapore_2002-09-09.tif","7","Sep 09, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-09-25,"LST_Singapore_2002-09-25.tif","7","Sep 25, 2002"
"JURONG WEST",0,3366,0,2002-10-11,"LST_Singapore_2002-10-11.tif","7","Oct 11, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-10-27,"LST_Singapore_2002-10-27.tif","7","Oct 27, 2002"
"JURONG WEST",1955,3366,58.0808080808081,2002-11-12,"LST_Singapore_2002-11-12.tif","7","Nov 12, 2002"
